amp,sqamp
"-1/3*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*s_{MOMENTUM_0,INDEX_4}(p_2)_u*s_{MOMENTUM_1,INDEX_3}(p_1)_v^(*)*mu_{MOMENTUM_2,INDEX_2}(p_4)_v*mu_{MOMENTUM_3,INDEX_1}(p_3)_u^(*)/(m_s^2+2*s_12+s_22+reg_prop)",1/9*e^4*(16*m_s^2*m_mu^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_s^2*s_34)*(m_s^2 + 2*s_12 + s_22 + reg_prop)^(-2)
"1/9*i*e^2*(p_1_\INDEX_0*gamma_{\INDEX_1,INDEX_2,INDEX_3}*A_{MOMENTUM_0,+\INDEX_1}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_0}(p_2)*s_{MOMENTUM_2,INDEX_2}(p_1)_v^(*)*s_{MOMENTUM_3,INDEX_3}(p_3)_v+1/2*p_2_\INDEX_4*gamma_{\INDEX_0,INDEX_5,INDEX_6}*gamma_{\INDEX_1,INDEX_7,INDEX_8}*gamma_{+\INDEX_4,INDEX_6,INDEX_7}*A_{MOMENTUM_0,+\INDEX_1}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_0}(p_2)*s_{MOMENTUM_2,INDEX_5}(p_1)_v^(*)*s_{MOMENTUM_3,INDEX_8}(p_3)_v)/(s_12+1/2*s_22+1/2*reg_prop)",1/324*e^4*(16*m_s^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)*(s_12 + 1/2*s_22 + 1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_s^2*(m_s^2 + -1/2*s_13)/(s_12 + 1/2*s_22 + 1/2*reg_prop) + 1/16*i*e^2*m_s^2*(16*s_12 + (-8)*s_23)/(s_12 + 1/2*s_22 + 1/2*reg_prop))/(s_12 + 1/2*s_22 + 1/2*reg_prop)
"i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_3}(p_2)*A_{MOMENTUM_1,+\INDEX_5}(p_4)^(*)*mu_{MOMENTUM_2,INDEX_4}(p_3)_u^(*)*mu_{MOMENTUM_3,INDEX_6}(p_1)_u+(-2)*p_3_\INDEX_3*gamma_{\INDEX_5,INDEX_7,INDEX_8}*A_{MOMENTUM_0,+\INDEX_3}(p_2)*A_{MOMENTUM_1,+\INDEX_5}(p_4)^(*)*mu_{MOMENTUM_2,INDEX_7}(p_3)_u^(*)*mu_{MOMENTUM_3,INDEX_8}(p_1)_u)/(s_22+(-2)*s_23+reg_prop)",e^4*(16*m_mu^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)*(s_22 + (-2)*s_23 + reg_prop)^(-2) + (-16)*i*e^2*(i*e^2*m_mu^2*(m_mu^2 + -1/2*s_13)/(s_22 + (-2)*s_23 + reg_prop) + 1/2*i*e^2*m_mu^2*(s_12 + (-2)*s_23)/(s_22 + (-2)*s_23 + reg_prop))/(s_22 + (-2)*s_23 + reg_prop)
"-i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*mu_{MOMENTUM_0,INDEX_1}(p_2)_v^(*)*mu_{MOMENTUM_1,INDEX_4}(p_4)_v*mu_{MOMENTUM_2,INDEX_2}(p_1)_u*mu_{MOMENTUM_3,INDEX_3}(p_3)_u^(*)/(m_mu^2+s_11+2*s_12+reg_prop)",e^4*(16*m_mu^4 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_11 + 2*s_12 + reg_prop)^(-2)
"2/3*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*e_{MOMENTUM_0,INDEX_1}(p_3)_u^(*)*e_{MOMENTUM_1,INDEX_2}(p_4)_v*tt_{MOMENTUM_2,INDEX_3}(p_1)_v^(*)*tt_{MOMENTUM_3,INDEX_4}(p_2)_u/(s_11+2*s_12+s_22+reg_prop)",4/9*e^4*(16*m_e^2*m_tt^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_tt^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
"2/9*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*c_{MOMENTUM_0,INDEX_1}(p_4)_u^(*)*c_{MOMENTUM_1,INDEX_2}(p_3)_v*d_{MOMENTUM_2,INDEX_4}(p_1)_u*d_{MOMENTUM_3,INDEX_3}(p_2)_v^(*)/(m_d^2+s_11+2*s_12+reg_prop)",4/81*e^4*(16*m_c^2*m_d^2 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_11 + 2*s_12 + reg_prop)^(-2)
"1/3*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*t_{MOMENTUM_0,INDEX_4}(p_4)_v*t_{MOMENTUM_1,INDEX_3}(p_3)_u^(*)*u_{MOMENTUM_2,INDEX_1}(p_1)_v^(*)*u_{MOMENTUM_3,INDEX_2}(p_2)_u/(m_u^2+s_12+1/2*reg_prop)",1/9*e^4*(16*m_t^2*m_u^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_u^2*s_34)*(m_u^2 + s_12 + 1/2*reg_prop)^(-2)
"4/9*i*e^2*(p_1_\INDEX_0*gamma_{\INDEX_1,INDEX_2,INDEX_3}*A_{MOMENTUM_0,+\INDEX_1}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_0}(p_2)*tt_{MOMENTUM_2,INDEX_3}(p_3)_v*tt_{MOMENTUM_3,INDEX_2}(p_1)_v^(*)+1/2*p_2_\INDEX_4*gamma_{\INDEX_0,INDEX_5,INDEX_6}*gamma_{\INDEX_1,INDEX_7,INDEX_8}*gamma_{+\INDEX_4,INDEX_6,INDEX_7}*A_{MOMENTUM_0,+\INDEX_1}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_0}(p_2)*tt_{MOMENTUM_2,INDEX_8}(p_3)_v*tt_{MOMENTUM_3,INDEX_5}(p_1)_v^(*))/(s_12+1/2*s_22+1/2*reg_prop)",4/81*e^4*(16*m_tt^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)*(s_12 + 1/2*s_22 + 1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_tt^2*(m_tt^2 + -1/2*s_13)/(s_12 + 1/2*s_22 + 1/2*reg_prop) + 1/16*i*e^2*m_tt^2*(16*s_12 + (-8)*s_23)/(s_12 + 1/2*s_22 + 1/2*reg_prop))/(s_12 + 1/2*s_22 + 1/2*reg_prop)
"1/9*i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_5}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_4)^(*)*b_{MOMENTUM_2,INDEX_6}(p_3)_v*b_{MOMENTUM_3,INDEX_4}(p_1)_v^(*)+-p_3_\INDEX_0*gamma_{+\INDEX_0,INDEX_7,INDEX_8}*gamma_{\INDEX_3,INDEX_9,INDEX_7}*gamma_{\INDEX_5,INDEX_8,INDEX_10}*A_{MOMENTUM_0,+\INDEX_5}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_4)^(*)*b_{MOMENTUM_2,INDEX_10}(p_3)_v*b_{MOMENTUM_3,INDEX_9}(p_1)_v^(*)+m_b*gamma_{\INDEX_3,INDEX_11,INDEX_12}*gamma_{\INDEX_5,INDEX_12,INDEX_13}*A_{MOMENTUM_0,+\INDEX_5}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_4)^(*)*b_{MOMENTUM_2,INDEX_13}(p_3)_v*b_{MOMENTUM_3,INDEX_11}(p_1)_v^(*))/(m_b^2+-s_22+2*s_23+-s_33+-reg_prop)",16/81*e^4*m_b^2*(m_b^2 + 1/4*s_13)*(m_b^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*(64*m_b^2 + 16*s_13)*s_33/(m_b^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_b^2*(s_13 + s_33)/(m_b^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_b^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -16/81*i*e^2*(i*e^2*m_b^2*(s_12 + s_23)/(m_b^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/16*i*e^2*(16*m_b^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)/(m_b^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -1/8*i*e^2*(16*m_b^2*s_23 + 4*s_12*s_33)/(m_b^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_b^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
"-1/3*i*e^2*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{+\INDEX_0,INDEX_3,INDEX_4}*d_{MOMENTUM_0,INDEX_4}(p_1)_u*d_{MOMENTUM_1,INDEX_3}(p_2)_v^(*)*e_{MOMENTUM_2,INDEX_2}(p_4)_v*e_{MOMENTUM_3,INDEX_1}(p_3)_u^(*)/(s_11+2*s_12+s_22+reg_prop)",1/9*e^4*(16*m_d^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
"-2/9*i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_5}(p_1)*A_{MOMENTUM_1,+\INDEX_3}(p_2)*tt_{MOMENTUM_2,INDEX_4}(p_4)_u^(*)*tt_{MOMENTUM_3,INDEX_6}(p_3)_v+(-2)*p_4_\INDEX_3*gamma_{\INDEX_5,INDEX_7,INDEX_8}*A_{MOMENTUM_0,+\INDEX_5}(p_1)*A_{MOMENTUM_1,+\INDEX_3}(p_2)*tt_{MOMENTUM_2,INDEX_7}(p_4)_u^(*)*tt_{MOMENTUM_3,INDEX_8}(p_3)_v)/(s_13+-1/2*reg_prop)",4/81*e^4*((-16)*m_tt^2*s_22 + 8*s_23*s_24 + (-4)*s_22*s_34)*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_tt^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
"i*e^2*(p_1_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_3}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*mu_{MOMENTUM_2,INDEX_4}(p_3)_u^(*)*mu_{MOMENTUM_3,INDEX_6}(p_1)_u+p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_7,INDEX_8}*gamma_{\INDEX_3,INDEX_9,INDEX_7}*gamma_{\INDEX_5,INDEX_8,INDEX_10}*A_{MOMENTUM_0,+\INDEX_3}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*mu_{MOMENTUM_2,INDEX_9}(p_3)_u^(*)*mu_{MOMENTUM_3,INDEX_10}(p_1)_u+m_mu*gamma_{\INDEX_3,INDEX_11,INDEX_12}*gamma_{\INDEX_5,INDEX_12,INDEX_13}*A_{MOMENTUM_0,+\INDEX_3}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*mu_{MOMENTUM_2,INDEX_11}(p_3)_u^(*)*mu_{MOMENTUM_3,INDEX_13}(p_1)_u)/(m_mu^2+-s_11+(-2)*s_12+-s_22+-reg_prop)",16*e^4*m_mu^2*(m_mu^2 + 1/4*s_13)*(m_mu^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + 1/4*e^4*(128*m_mu^2*s_12 + s_11*(64*m_mu^2 + 16*s_13) + 64*m_mu^2*s_22 + (-16)*s_13*s_22 + 32*s_11*s_23 + 32*s_12*s_23)*(m_mu^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + (-16)*e^4*m_mu*(m_mu*(s_11 + s_13) + m_mu*(s_12 + s_23))*(m_mu^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2)
"-i*e^2*(p_1_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_3}(p_3)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_4)^(*)*mu_{MOMENTUM_2,INDEX_6}(p_2)_u*mu_{MOMENTUM_3,INDEX_4}(p_1)_v^(*)+-p_3_\INDEX_0*gamma_{+\INDEX_0,INDEX_7,INDEX_8}*gamma_{\INDEX_3,INDEX_9,INDEX_7}*gamma_{\INDEX_5,INDEX_8,INDEX_10}*A_{MOMENTUM_0,+\INDEX_3}(p_3)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_4)^(*)*mu_{MOMENTUM_2,INDEX_10}(p_2)_u*mu_{MOMENTUM_3,INDEX_9}(p_1)_v^(*)+-m_mu*gamma_{\INDEX_3,INDEX_11,INDEX_12}*gamma_{\INDEX_5,INDEX_12,INDEX_13}*A_{MOMENTUM_0,+\INDEX_3}(p_3)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_4)^(*)*mu_{MOMENTUM_2,INDEX_13}(p_2)_u*mu_{MOMENTUM_3,INDEX_11}(p_1)_v^(*))/(m_mu^2+-s_11+2*s_13+-reg_prop)",-1/8*e^4*s_11*(64*m_mu^2 + (-16)*s_12)*(m_mu^2 + -s_11 + 2*s_13 + -reg_prop)^(-2) + (-8)*i*e^2*m_mu*(i*e^2*m_mu*(s_11 + -s_12)/(m_mu^2 + -s_11 + 2*s_13 + -reg_prop) + -i*e^2*m_mu*(m_mu^2 + -1/4*s_12)/(m_mu^2 + -s_11 + 2*s_13 + -reg_prop) + -i*e^2*m_mu*(s_13 + -s_23)/(m_mu^2 + -s_11 + 2*s_13 + -reg_prop))/(m_mu^2 + -s_11 + 2*s_13 + -reg_prop) + (-4)*i*e^2*(i*e^2*s_13*s_23/(m_mu^2 + -s_11 + 2*s_13 + -reg_prop) + 4*i*e^2*(m_mu^2*s_13 + -1/4*s_11*s_23)/(m_mu^2 + -s_11 + 2*s_13 + -reg_prop))/(m_mu^2 + -s_11 + 2*s_13 + -reg_prop)
"-i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*e_{MOMENTUM_0,INDEX_3}(p_2)_v^(*)*e_{MOMENTUM_1,INDEX_2}(p_3)_v*e_{MOMENTUM_2,INDEX_4}(p_4)_v*e_{MOMENTUM_3,INDEX_1}(p_1)_v^(*)/(m_e^2+s_11+(-2)*s_13+reg_prop)",8*e^4*(m_e^4 + -1/2*m_e^2*s_13 + 1/2*s_14*s_23 + -1/2*m_e^2*s_24 + 1/2*s_12*s_34)*(m_e^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
"-1/3*i*e^2*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{+\INDEX_0,INDEX_3,INDEX_4}*d_{MOMENTUM_0,INDEX_4}(p_4)_v*d_{MOMENTUM_1,INDEX_3}(p_3)_u^(*)*t_{MOMENTUM_2,INDEX_1}(p_1)_v^(*)*t_{MOMENTUM_3,INDEX_2}(p_2)_u/(m_t^2+2*s_12+s_22+reg_prop)",1/9*e^4*(16*m_d^2*m_t^2 + 8*m_d^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_t^2*s_34)*(m_t^2 + 2*s_12 + s_22 + reg_prop)^(-2)
"-4/9*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*tt_{MOMENTUM_0,INDEX_4}(p_3)_v*tt_{MOMENTUM_1,INDEX_2}(p_1)_u*tt_{MOMENTUM_2,INDEX_3}(p_4)_u^(*)*tt_{MOMENTUM_3,INDEX_1}(p_2)_v^(*)/(m_tt^2+s_11+2*s_12+reg_prop)",16/81*e^4*(16*m_tt^4 + 8*m_tt^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_tt^2*s_34)*(m_tt^2 + s_11 + 2*s_12 + reg_prop)^(-2)
"4/9*i*e^2*(m_c*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*A_{MOMENTUM_0,+\INDEX_0}(p_3)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_4)^(*)*c_{MOMENTUM_2,INDEX_4}(p_2)_v^(*)*c_{MOMENTUM_3,INDEX_2}(p_1)_u+p_1_\INDEX_5*gamma_{+\INDEX_5,INDEX_6,INDEX_7}*gamma_{\INDEX_0,INDEX_7,INDEX_8}*gamma_{\INDEX_3,INDEX_9,INDEX_6}*A_{MOMENTUM_0,+\INDEX_0}(p_3)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_4)^(*)*c_{MOMENTUM_2,INDEX_9}(p_2)_v^(*)*c_{MOMENTUM_3,INDEX_8}(p_1)_u+-p_3_\INDEX_5*gamma_{+\INDEX_5,INDEX_10,INDEX_11}*gamma_{\INDEX_0,INDEX_11,INDEX_12}*gamma_{\INDEX_3,INDEX_13,INDEX_10}*A_{MOMENTUM_0,+\INDEX_0}(p_3)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_4)^(*)*c_{MOMENTUM_2,INDEX_13}(p_2)_v^(*)*c_{MOMENTUM_3,INDEX_12}(p_1)_u)/(m_c^2+-s_11+2*s_13+-s_33+-reg_prop)",-2/81*e^4*s_11*(64*m_c^2 + (-16)*s_12)*(m_c^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)^(-2) + -128/81*i*e^2*m_c*(i*e^2*m_c*(s_11 + -s_12)/(m_c^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -i*e^2*m_c*(m_c^2 + -1/4*s_12)/(m_c^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_c^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + 128/81*i*e^2*(i*e^2*m_c^2*(s_13 + -s_23)/(m_c^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + (-2)*i*e^2*(m_c^2*s_13 + -1/4*s_11*s_23)/(m_c^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -1/2*i*e^2*(s_13*s_23 + (-2)*m_c^2*s_33 + -1/2*s_12*s_33)/(m_c^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_c^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)
"1/9*i*e^2*(m_d*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_1)*d_{MOMENTUM_2,INDEX_4}(p_4)_u^(*)*d_{MOMENTUM_3,INDEX_2}(p_3)_v+p_2_\INDEX_5*gamma_{\INDEX_0,INDEX_6,INDEX_7}*gamma_{+\INDEX_5,INDEX_8,INDEX_6}*gamma_{\INDEX_3,INDEX_9,INDEX_8}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_1)*d_{MOMENTUM_2,INDEX_9}(p_4)_u^(*)*d_{MOMENTUM_3,INDEX_7}(p_3)_v+-p_3_\INDEX_5*gamma_{\INDEX_0,INDEX_10,INDEX_11}*gamma_{+\INDEX_5,INDEX_12,INDEX_10}*gamma_{\INDEX_3,INDEX_13,INDEX_12}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_1)*d_{MOMENTUM_2,INDEX_13}(p_4)_u^(*)*d_{MOMENTUM_3,INDEX_11}(p_3)_v)/(m_d^2+2*s_23+-s_33+-reg_prop)",-1/324*e^4*s_33*(64*m_d^2 + (-16)*s_34)*(m_d^2 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -8/81*i*e^2*(i*e^2*s_23*s_24/(m_d^2 + 2*s_23 + -s_33 + -reg_prop) + -1/4*i*e^2*((-16)*m_d^2*s_23 + 4*s_24*s_33)/(m_d^2 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + 2*s_23 + -s_33 + -reg_prop) + 16/81*i*e^2*m_d*(i*e^2*m_d*(s_23 + -s_24)/(m_d^2 + 2*s_23 + -s_33 + -reg_prop) + -i*e^2*m_d*(s_33 + -s_34)/(m_d^2 + 2*s_23 + -s_33 + -reg_prop) + i*e^2*m_d*(m_d^2 + -1/4*s_34)/(m_d^2 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + 2*s_23 + -s_33 + -reg_prop)
"-i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_3}(p_2)*A_{MOMENTUM_1,+\INDEX_5}(p_4)^(*)*e_{MOMENTUM_2,INDEX_4}(p_3)_u^(*)*e_{MOMENTUM_3,INDEX_6}(p_1)_u+-p_3_\INDEX_0*gamma_{+\INDEX_0,INDEX_7,INDEX_8}*gamma_{\INDEX_3,INDEX_9,INDEX_7}*gamma_{\INDEX_5,INDEX_8,INDEX_10}*A_{MOMENTUM_0,+\INDEX_3}(p_2)*A_{MOMENTUM_1,+\INDEX_5}(p_4)^(*)*e_{MOMENTUM_2,INDEX_9}(p_3)_u^(*)*e_{MOMENTUM_3,INDEX_10}(p_1)_u+-m_e*gamma_{\INDEX_3,INDEX_11,INDEX_12}*gamma_{\INDEX_5,INDEX_12,INDEX_13}*A_{MOMENTUM_0,+\INDEX_3}(p_2)*A_{MOMENTUM_1,+\INDEX_5}(p_4)^(*)*e_{MOMENTUM_2,INDEX_11}(p_3)_u^(*)*e_{MOMENTUM_3,INDEX_13}(p_1)_u)/(m_e^2+-s_22+2*s_23+-s_33+-reg_prop)",16*e^4*m_e^2*(m_e^2 + 1/4*s_13)*(m_e^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*(64*m_e^2 + 16*s_13)*s_33/(m_e^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_e^2*(s_13 + s_33)/(m_e^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_e^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + i*e^2*((-16)*i*e^2*m_e^2*(s_12 + s_23)/(m_e^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -i*e^2*(16*m_e^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)/(m_e^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 2*i*e^2*(16*m_e^2*s_23 + 4*s_12*s_33)/(m_e^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_e^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
"2/9*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*s_{MOMENTUM_0,INDEX_3}(p_4)_u^(*)*s_{MOMENTUM_1,INDEX_4}(p_3)_v*u_{MOMENTUM_2,INDEX_1}(p_2)_v^(*)*u_{MOMENTUM_3,INDEX_2}(p_1)_u/(m_u^2+s_11+2*s_12+reg_prop)",4/81*e^4*(16*m_s^2*m_u^2 + 8*m_s^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_u^2*s_34)*(m_u^2 + s_11 + 2*s_12 + reg_prop)^(-2)
"2/3*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*t_{MOMENTUM_0,INDEX_3}(p_1)_v^(*)*t_{MOMENTUM_1,INDEX_4}(p_3)_v*u_{MOMENTUM_2,INDEX_2}(p_4)_v*u_{MOMENTUM_3,INDEX_1}(p_2)_v^(*)/(m_t^2+s_11+(-2)*s_13+reg_prop)",4/9*e^4*(16*m_t^2*m_u^2 + (-8)*m_u^2*s_13 + 8*s_14*s_23 + (-8)*m_t^2*s_24 + 8*s_12*s_34)*(m_t^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
"i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_5}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_1)*t_{MOMENTUM_2,INDEX_4}(p_4)_u^(*)*t_{MOMENTUM_3,INDEX_6}(p_3)_v+-p_3_\INDEX_0*gamma_{+\INDEX_0,INDEX_7,INDEX_8}*gamma_{\INDEX_3,INDEX_9,INDEX_7}*gamma_{\INDEX_5,INDEX_8,INDEX_10}*A_{MOMENTUM_0,+\INDEX_5}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_1)*t_{MOMENTUM_2,INDEX_9}(p_4)_u^(*)*t_{MOMENTUM_3,INDEX_10}(p_3)_v+m_t*gamma_{\INDEX_3,INDEX_11,INDEX_12}*gamma_{\INDEX_5,INDEX_12,INDEX_13}*A_{MOMENTUM_0,+\INDEX_5}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_1)*t_{MOMENTUM_2,INDEX_11}(p_4)_u^(*)*t_{MOMENTUM_3,INDEX_13}(p_3)_v)/(m_t^2+-s_22+2*s_23+-s_33+-reg_prop)",e^4*((-16)*m_t^2*s_22 + 8*s_23*s_24 + (-4)*s_22*s_34)*(m_t^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + 2*i*e^2*(i*e^2*((-16)*m_t^2*s_23 + 4*s_24*s_33)/(m_t^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/8*i*e^2*s_33*(64*m_t^2 + (-16)*s_34)/(m_t^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + (-8)*i*e^2*m_t^2*(s_33 + -s_34)/(m_t^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_t^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 16*i*e^2*m_t*(i*e^2*m_t*(s_23 + -s_24)/(m_t^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + i*e^2*m_t*(m_t^2 + -1/4*s_34)/(m_t^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_t^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
